CityName,DistrictName
Hà Nội,Hoàng Mai
Hà Nội,Đống Đa
Hà Nội,Ba Đình
Hà Nội,Thanh Trì
Hà Nội,Hà Đông
Hà Nội,Cầu Giấy
Hà Nội,Bắc Từ Liêm
Hà Nội,Long Biên
Hà Nội,Nam Từ Liêm
Hà Nội,Thanh Xuân
Hà Nội,Tây Hồ
Hà Nội,Hai Bà Trưng
Hà Nội,Hoàn Kiếm
Hà Nội,Đan Phượng
Hà Nội,Hoài Đức
Hà Nội,Mê Linh
Hà Nội,Đông Anh
Hà Nội,Sóc Sơn
Hà Nội,Gia Lâm
Hòa Bình,Hòa Bình
Hồ Chí Minh,12
Hải Dương,Hải Dương
Phú Thọ,Việt Trì
Vĩnh Phúc,Vĩnh Yên
Bắc Ninh,Bắc Ninh
Lào Cai,Lào Cai
Thanh Hóa,Thanh Hóa
Hải Phòng,Ngô Quyền
Hồ Chí Minh,3
Hồ Chí Minh,6
Hồ Chí Minh,1
Hồ Chí Minh,5
Hồ Chí Minh,10
Hồ Chí Minh,Phú Nhuận
Hồ Chí Minh,Bình Thạnh
Hồ Chí Minh,2
Hồ Chí Minh,Tân Bình
Hồ Chí Minh,8
Hồ Chí Minh,Thủ Đức
Hồ Chí Minh,Bình Tân
Hồ Chí Minh,Tân Phú
Hồ Chí Minh,Củ Chi
Hồ Chí Minh,Nhà Bè
Hà Nội,Thường Tín
Hồ Chí Minh,Bình Chánh
Hồ Chí Minh,Gò Vấp
Hồ Chí Minh,7
Hà Nội,Quốc Oai
Hồ Chí Minh,9
Hà Nội,Ba Vì
Hồ Chí Minh,Hóc Môn
Hà Nội,Sơn Tây
Hà Nội,Chương Mỹ
Hồ Chí Minh,4
Hồ Chí Minh,11
Thái Nguyên,Đại Từ
Đồng Nai,Cẩm Mỹ
Yên Bái,Yên Bái
